LOCATION,SUBJECT,TIME,Consumption kg_cap,Consumption THND_TONNE,Country,Latitude (average),Longitude (average),region,sub-region,Population
AUS,BEEF,1991,27.7218154779186,686.147328,Australia,-27.0,133.0,Oceania,Australia and New Zealand,17284000.0
AUS,BEEF,1992,26.199590974358106,656.4265224999998,Australia,-27.0,133.0,Oceania,Australia and New Zealand,17495000.0
AUS,BEEF,1993,26.169094098981,663.140845,Australia,-27.0,133.0,Oceania,Australia and New Zealand,17667000.0
AUS,BEEF,1994,25.4561344070509,652.121214,Australia,-27.0,133.0,Oceania,Australia and New Zealand,17855000.0
AUS,BEEF,1995,25.3402262814921,656.122533,Australia,-27.0,133.0,Oceania,Australia and New Zealand,18072000.0
AUS,BEEF,1996,27.2591040290769,713.345051,Australia,-27.0,133.0,Oceania,Australia and New Zealand,18311000.0
AUS,BEEF,1997,28.802913179629602,761.7535663,Australia,-27.0,133.0,Oceania,Australia and New Zealand,18517000.0
AUS,BEEF,1998,26.590476609471,710.6941146,Australia,-27.0,133.0,Oceania,Australia and New Zealand,18711000.0
AUS,BEEF,1999,27.918282977739,754.0702707,Australia,-27.0,133.0,Oceania,Australia and New Zealand,18926000.0
AUS,BEEF,2000,26.3546243250795,719.3777457,Australia,-27.0,133.0,Oceania,Australia and New Zealand,19153000.0
AUS,BEEF,2001,24.460361570528804,674.7104552999998,Australia,-27.0,133.0,Oceania,Australia and New Zealand,19413000.0
AUS,BEEF,2002,25.116185531852498,700.181306,Australia,-27.0,133.0,Oceania,Australia and New Zealand,19651400.0
AUS,BEEF,2003,25.811711380471106,727.7152944000002,Australia,-27.0,133.0,Oceania,Australia and New Zealand,19895400.0
AUS,BEEF,2004,28.5666444410253,815.5970833,Australia,-27.0,133.0,Oceania,Australia and New Zealand,20127400.0
AUS,BEEF,2005,27.06126787868489,783.7825375,Australia,-27.0,133.0,Oceania,Australia and New Zealand,20394800.0
AUS,BEEF,2006,26.9251671242306,792.6087610000002,Australia,-27.0,133.0,Oceania,Australia and New Zealand,20697900.0
AUS,BEEF,2007,24.097615521471802,722.100506,Australia,-27.0,133.0,Oceania,Australia and New Zealand,20827600.0
AUS,BEEF,2008,23.301062531129602,711.3597358,Australia,-27.0,133.0,Oceania,Australia and New Zealand,21249200.0
AUS,BEEF,2009,23.432423328325896,728.77146318536,Australia,-27.0,133.0,Oceania,Australia and New Zealand,21691700.0
AUS,BEEF,2010,25.3004857895539,801.0445719819,Australia,-27.0,133.0,Oceania,Australia and New Zealand,22031750.0
AUS,BEEF,2011,23.2827702747972,749.7840649175,Australia,-27.0,133.0,Oceania,Australia and New Zealand,22340024.0
AUS,BEEF,2012,22.4272426868263,734.05566773412,Australia,-27.0,133.0,Oceania,Australia and New Zealand,22733465.0
AUS,BEEF,2013,23.7283312014827,788.81328676073,Australia,-27.0,133.0,Oceania,Australia and New Zealand,23128129.0
AUS,BEEF,2014,22.5623087650667,761.3926030619998,Australia,-27.0,133.0,Oceania,Australia and New Zealand,23475686.0
AUS,BEEF,2015,19.6992156542418,674.528525911,Australia,-27.0,133.0,Oceania,Australia and New Zealand,23815995.0
AUS,BEEF,2016,22.051026183814106,765.7795319156841,Australia,-27.0,133.0,Oceania,Australia and New Zealand,24190907.0
AUS,BEEF,2017,20.939368542138396,737.1154887268691,Australia,-27.0,133.0,Oceania,Australia and New Zealand,24601860.0
AUS,BEEF,2018,20.4833254596177,730.5679715294791,Australia,-27.0,133.0,Oceania,Australia and New Zealand,24982688.0
AUS,PIG,1991,14.3964762598799,319.782984,Australia,-27.0,133.0,Oceania,Australia and New Zealand,17284000.0
AUS,PIG,1992,15.1292467203512,340.1828,Australia,-27.0,133.0,Oceania,Australia and New Zealand,17495000.0
AUS,PIG,1993,14.870676526691101,338.182596,Australia,-27.0,133.0,Oceania,Australia and New Zealand,17667000.0
AUS,PIG,1994,15.5966906071944,358.568197,Australia,-27.0,133.0,Oceania,Australia and New Zealand,17855000.0
AUS,PIG,1995,15.5047171324105,360.281323,Australia,-27.0,133.0,Oceania,Australia and New Zealand,18072000.0
AUS,PIG,1996,14.459520182505601,339.582573,Australia,-27.0,133.0,Oceania,Australia and New Zealand,18311000.0
AUS,PIG,1997,14.7153330040867,349.262222,Australia,-27.0,133.0,Oceania,Australia and New Zealand,18517000.0
AUS,PIG,1998,15.1659320798485,363.771894,Australia,-27.0,133.0,Oceania,Australia and New Zealand,18711000.0
AUS,PIG,1999,15.0694735328876,365.278938,Australia,-27.0,133.0,Oceania,Australia and New Zealand,18926000.0
AUS,PIG,2000,15.2064536327073,372.504521,Australia,-27.0,133.0,Oceania,Australia and New Zealand,19153000.0
AUS,PIG,2001,15.207590621026899,376.459636,Australia,-27.0,133.0,Oceania,Australia and New Zealand,19413000.0
AUS,PIG,2002,15.9630117290399,399.369688,Australia,-27.0,133.0,Oceania,Australia and New Zealand,19651400.0
AUS,PIG,2003,17.414557842804694,440.616333,Australia,-27.0,133.0,Oceania,Australia and New Zealand,19895400.0
AUS,PIG,2004,17.7025989334754,453.583139,Australia,-27.0,133.0,Oceania,Australia and New Zealand,20127400.0
AUS,PIG,2005,18.6201897043752,483.9884320000001,Australia,-27.0,133.0,Oceania,Australia and New Zealand,20394800.0
AUS,PIG,2006,17.9589995616859,474.445179,Australia,-27.0,133.0,Oceania,Australia and New Zealand,20697900.0
AUS,PIG,2007,19.6800699229389,529.241209,Australia,-27.0,133.0,Oceania,Australia and New Zealand,20827600.0
AUS,PIG,2008,19.282073702309397,528.287981,Australia,-27.0,133.0,Oceania,Australia and New Zealand,21249200.0
AUS,PIG,2009,19.869322772957602,554.57547,Australia,-27.0,133.0,Oceania,Australia and New Zealand,21691700.0
AUS,PIG,2010,20.1572013805256,572.745247,Australia,-27.0,133.0,Oceania,Australia and New Zealand,22031750.0
AUS,PIG,2011,19.6201728664656,567.032328,Australia,-27.0,133.0,Oceania,Australia and New Zealand,22340024.0
AUS,PIG,2012,20.5293338082066,603.019571,Australia,-27.0,133.0,Oceania,Australia and New Zealand,22733465.0
AUS,PIG,2013,19.9870804231888,596.2931480000002,Australia,-27.0,133.0,Oceania,Australia and New Zealand,23128129.0
AUS,PIG,2014,19.9871331979503,605.311687,Australia,-27.0,133.0,Oceania,Australia and New Zealand,23475686.0
AUS,PIG,2015,21.736934480254998,667.9640969999998,Australia,-27.0,133.0,Oceania,Australia and New Zealand,23815995.0
AUS,PIG,2016,20.4955304652877,638.759761032989,Australia,-27.0,133.0,Oceania,Australia and New Zealand,24190907.0
AUS,PIG,2017,20.6663981381898,652.890253434234,Australia,-27.0,133.0,Oceania,Australia and New Zealand,24601860.0
AUS,PIG,2018,20.6483087416526,660.918769610307,Australia,-27.0,133.0,Oceania,Australia and New Zealand,24982688.0
AUS,POULTRY,1990,21.7675783756663,422.9061772,Australia,-27.0,133.0,Oceania,Australia and New Zealand,17065100.0
AUS,POULTRY,1991,22.056736165646,434.262496,Australia,-27.0,133.0,Oceania,Australia and New Zealand,17284000.0
AUS,POULTRY,1992,22.072118066501798,439.896987,Australia,-27.0,133.0,Oceania,Australia and New Zealand,17495000.0
AUS,POULTRY,1993,23.2513771840436,468.685091,Australia,-27.0,133.0,Oceania,Australia and New Zealand,17667000.0
AUS,POULTRY,1994,23.993305826932502,488.9239712,Australia,-27.0,133.0,Oceania,Australia and New Zealand,17855000.0
AUS,POULTRY,1995,23.578497874014396,485.6305124,Australia,-27.0,133.0,Oceania,Australia and New Zealand,18072000.0
AUS,POULTRY,1996,24.023558211497306,500.08148560000006,Australia,-27.0,133.0,Oceania,Australia and New Zealand,18311000.0
AUS,POULTRY,1997,25.2469211075845,531.1312708,Australia,-27.0,133.0,Oceania,Australia and New Zealand,18517000.0
AUS,POULTRY,1998,27.170699923647103,577.6606588,Australia,-27.0,133.0,Oceania,Australia and New Zealand,18711000.0
AUS,POULTRY,1999,27.4507813454279,589.7842796,Australia,-27.0,133.0,Oceania,Australia and New Zealand,18926000.0
AUS,POULTRY,2000,29.192492311112694,633.8503158,Australia,-27.0,133.0,Oceania,Australia and New Zealand,19153000.0
AUS,POULTRY,2001,28.7735459721977,631.3400232000001,Australia,-27.0,133.0,Oceania,Australia and New Zealand,19413000.0
AUS,POULTRY,2002,31.949187672171107,708.4872144,Australia,-27.0,133.0,Oceania,Australia and New Zealand,19651400.0
AUS,POULTRY,2003,30.867401225269198,692.2454936,Australia,-27.0,133.0,Oceania,Australia and New Zealand,19895400.0
AUS,POULTRY,2004,32.315503555257,733.9098732000001,Australia,-27.0,133.0,Oceania,Australia and New Zealand,20127400.0
AUS,POULTRY,2005,33.5805832575477,773.6616076,Australia,-27.0,133.0,Oceania,Australia and New Zealand,20394800.0
AUS,POULTRY,2006,35.0500645206876,820.7382056,Australia,-27.0,133.0,Oceania,Australia and New Zealand,20697900.0
AUS,POULTRY,2007,34.6704840016535,826.4162547999998,Australia,-27.0,133.0,Oceania,Australia and New Zealand,20827600.0
AUS,POULTRY,2008,33.2014174945583,806.2793704,Australia,-27.0,133.0,Oceania,Australia and New Zealand,21249200.0
AUS,POULTRY,2009,33.5478125013034,829.9534388,Australia,-27.0,133.0,Oceania,Australia and New Zealand,21691700.0
AUS,POULTRY,2010,37.6306664596537,947.7310288,Australia,-27.0,133.0,Oceania,Australia and New Zealand,22031750.0
AUS,POULTRY,2011,39.4917752962188,1011.6343752,Australia,-27.0,133.0,Oceania,Australia and New Zealand,22340024.0
